title,average_rating,language_code,num_pages,ratings_count,text_reviews_count,decade,quarter,tra_co,multivolume
There's Always Enough: The Miraculous Move of God in Mozambique,4.46,eng,192,34,6,2000,2,1,0
What to Expect the First Year (What to Expect),3.89,eng,832,11797,659,2000,4,1,0
The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,eng,123,34,8,2000,2,1,0
Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,en-US,128,78,4,2000,3,0,0
God Emperor of Dune (Dune Chronicles  #4),3.84,eng,423,2785,166,1980,2,0,1
Chapterhouse: Dune (Dune Chronicles #6),3.91,eng,436,38778,568,1980,3,0,1
Dune Messiah (Dune Chronicles #2),3.88,eng,331,97494,2359,1980,3,0,1
Dreamer of Dune: The Biography of Frank Herbert,4.01,en-US,592,784,21,2000,3,0,0
Heretics of Dune (Dune Chronicles  #5),3.86,eng,480,272,20,1980,2,0,1
The Road to Dune,3.88,eng,426,4789,83,2000,3,1,0
Heretics of Dune (Dune Chronicles #5),3.86,eng,471,45388,644,1980,3,0,1
The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,eng,192,26153,102,2000,2,0,0
The Power of One (The Power of One  #1),4.35,eng,544,69167,4551,1990,3,0,1
The Power of One (The Power of One  #1),4.35,eng,291,45,13,2000,3,0,1
The Power of One: One Person  One Rule  One Month,4.28,en-US,256,16,1,2000,4,1,0
Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,eng,205,174,16,2000,2,0,0
The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,eng,240,10,0,2000,1,0,0
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,eng,336,76,9,2000,2,0,0
eBay for Dummies,3.5,eng,386,111,9,2000,4,0,0
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,eng,260,24,0,2000,1,1,0
Starting an eBay Business for Dummies,3.55,eng,384,55,4,2000,3,0,0
eBay: Top 100 Simplified Tips & Tricks,4.27,eng,260,9,0,2000,2,0,0
ebay Timesaving Techniques for Dummies,3.39,en-US,391,22,1,2000,2,0,0
eBay Business All-in-One Desk Reference for Dummies,3.89,en-US,864,17,3,2000,2,0,0
Ruby Cookbook,3.84,eng,873,166,4,2000,3,1,0
Ruby Ann's Down Home Trailer Park Cookbook,4.12,eng,240,50,5,2000,2,0,0
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,eng,206,13,2,2000,2,0,0
Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,eng,514,64,1,2000,1,0,0
Anna Karenina,4.05,eng,838,16643,1851,2000,2,1,0
Anna Karenina,4.05,eng,960,109420,5696,2000,4,1,0
Anna Karenina,4.05,eng,837,2904,309,2000,1,1,0
CliffsNotes on Tolstoy's Anna Karenina,3.85,eng,80,16,3,1960,4,1,0
Anna Karenina,4.05,eng,803,9564,726,2000,3,1,0
Anna Karenina,4.05,eng,752,474,72,2000,4,1,0
Anna Karenina,4.05,eng,803,303,48,2000,3,1,0
Dinner with Anna Karenina,2.99,eng,360,411,65,2000,1,0,0
Tolstoy: Anna Karenina,4.19,eng,128,1204,33,1980,4,0,0
Untouchable,3.71,eng,160,3429,279,1990,3,1,0
The Untouchable,3.95,eng,367,2163,216,1990,2,0,0
The Untouchables,3.89,eng,256,613,31,1990,1,1,0
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,en-US,320,308,40,2000,3,0,0
Dalit: The Black Untaouchables of India,4.2,eng,100,10,0,1990,1,1,0
Growing Up Untouchable in India: A Dalit Autobiography,3.65,eng,224,16,4,2000,4,1,0
The Evidence-Based Social Work Skills Book,3.4,eng,216,10,0,2000,3,0,0
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4.0,eng,48,17,0,1990,3,1,0
Wrinkles in Time,4.01,eng,360,1035,23,1990,4,1,0
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4.0,eng,250,36,6,2000,2,0,1
Literature Circle Guide: A Wrinkle in Time,3.6,eng,32,15,0,2000,1,0,0
Una arruga en el tiempo – A Wrinkle in Time,4.0,spa,205,6,1,1980,2,0,0
The Long Shadow (The Morland Dynasty  #6),4.12,eng,367,376,17,1990,2,0,1
A Long Shadow (Inspector Ian Rutledge  #8),4.11,eng,352,3086,237,2000,1,0,1
Long Way Round: Chasing Shadows Across the World,3.94,en-US,320,352,44,2000,4,1,0
A Shadow in Summer (Long Price Quartet  #1),3.6,eng,331,9852,633,2000,1,0,1
New Hope for the Dead (Hoke Mosely #2),3.9,eng,244,821,78,2000,3,1,1
Sideswipe: A Hoke Moseley Novel,4.05,eng,215,731,72,2000,1,1,0
Miami Blues (Hoke Moseley #1),3.94,eng,191,2897,178,2000,3,1,1
The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,eng,144,98,11,1990,4,0,0
I am Charlotte Simmons,3.42,eng,738,20888,1688,2000,3,0,0
Poetry for Young People: Edward Lear,3.91,eng,48,66,19,2000,4,1,0
The Puffin Book of Nonsense Verse,4.02,eng,287,81,6,1990,4,0,0
Henry Miller on Writing,4.22,eng,217,981,52,1960,1,1,0
Quiet Days in Clichy,3.69,eng,154,3381,141,1990,1,0,0
Tropic of Cancer,3.68,eng,318,53206,2376,1990,1,1,0
Tropic of Capricorn,3.78,eng,348,14872,459,1990,1,0,0
Nexus (The Rosy Crucifixion  #3),4.1,eng,316,3261,58,1990,1,0,1
Sexus (The Rosy Crucifixion  #1),3.98,eng,506,7805,251,1990,1,0,1
The Air-Conditioned Nightmare,3.83,eng,292,2699,142,1970,1,0,0
The Portrait of a Lady,3.78,eng,797,61640,1951,2000,3,1,0
The Portrait of a Lady,3.78,eng,635,392,41,2000,1,1,0
Writing,3.75,eng,91,778,44,1990,2,0,0
The War,3.85,eng,192,963,65,1990,3,1,0
The Ravishing of Lol Stein,3.66,en-US,181,2057,128,1980,1,1,0
Love Letters,3.68,eng,178,203,8,1990,3,1,0
Kahlil Gibran: His Life and World,4.21,eng,464,35,2,1990,2,1,0
The Beloved: Reflections on the Path of the Heart,4.19,eng,102,328,16,1990,1,1,0
Jesus the Son of Man,3.98,eng,216,1308,82,1990,1,1,0
The Broken Wings,3.92,eng,132,6432,517,2000,1,1,0
Sand and Foam,4.08,eng,100,3015,217,2010,2,1,0
Treasure Island,3.83,eng,311,318753,6734,2000,3,0,0
Treasure Island,3.83,en-US,213,420,42,2000,4,1,0
Treasure Island,3.83,eng,245,5967,276,2000,2,0,0
Treasure Island,3.83,eng,64,104,14,2000,3,1,0
Treasure Island,3.83,en-US,272,56,4,2000,3,1,0
Treasure Island (Great Illustrated Classics),4.05,eng,232,91,16,2000,1,1,0
100 Years of Lynchings,4.61,eng,270,88,4,1990,4,0,0
Cien años de soledad,4.07,spa,448,63,7,1990,1,0,0
On Beyond Zebra!,4.04,eng,64,2815,164,1950,3,0,0
The Wedding Clause,3.6,eng,256,95,13,2000,2,0,0
The Zebra Wall,3.44,eng,147,217,24,2000,1,0,0
El perfume: Historia de un asesino,4.02,spa,239,4136,255,2000,2,0,0
The Door Into Summer,4.01,eng,304,17232,649,1990,2,0,0
Stranger in a Strange Land,3.92,eng,528,251872,6241,1990,4,0,0
To Sail Beyond the Sunset,3.87,en-US,434,10293,193,1980,2,0,0
Job: A Comedy of Justice,3.78,en-US,439,15970,438,1980,4,0,0
Time for the Stars (Heinlein's Juveniles  #10),3.97,eng,256,6898,200,2000,3,0,1
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),4.06,en-US,307,67803,1401,1990,1,0,1
The Salmon of Doubt (Dirk Gently  #3),3.93,eng,298,22091,746,2000,2,0,1
Wish You Were Here: The Official Biography of Douglas Adams,4.14,eng,368,2623,49,2000,4,0,0
Douglas Adams's Starship Titanic,3.6,eng,256,885,84,1990,4,0,0
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,3.93,eng,336,5,0,2000,3,1,0
The Phantom Tollbooth: A Children's Play in Two Acts,4.13,eng,72,100,13,2010,1,1,0
On Bullshit,3.57,eng,67,9358,995,2000,1,0,0
Another Bullshit Night in Suck City,3.78,eng,347,9318,907,2000,3,0,0
Lincoln at Gettysburg: The Words That Remade America,4.14,en-US,317,120,15,1990,2,0,0
The Gettysburg Address,4.53,eng,32,5239,76,1990,1,1,0
Underworld,3.92,eng,827,1505,175,1990,3,0,0
Libra,3.99,eng,480,11857,564,1990,2,0,0
Americana,3.43,eng,377,393,55,1980,3,0,0
Running Dog,3.43,eng,256,1356,72,1980,3,0,0
Cosmopolis,3.22,eng,224,460,41,2000,2,0,0
Great Jones Street,3.48,eng,272,2492,145,1990,1,0,0
The Names,3.64,eng,339,3100,212,1980,3,0,0
Against the Day,4.13,eng,1085,5296,587,2000,4,0,0
V.,3.96,eng,547,1415,177,2000,3,0,0
The Crying of Lot 49,3.69,eng,152,2161,230,1990,2,0,0
Gravity's Rainbow,4.01,eng,784,762,213,2000,1,0,0
Mason & Dixon,4.07,eng,773,8086,602,2000,1,1,0
Vineland,3.69,en-US,385,702,69,1990,3,0,0
Gravity's Rainbow,4.01,eng,776,29764,2164,2000,4,0,0
Slow Learner: Early Stories,3.5,eng,193,334,34,1980,2,0,0
Been Down So Long It Looks Like Up To Me,3.8,eng,352,2473,220,1990,3,1,0
The Year of Magical Thinking,3.89,en-US,227,2656,336,2000,4,0,0
The White Album,4.17,eng,222,11889,738,1990,4,0,0
A Book of Common Prayer,3.8,eng,272,2962,255,1990,2,0,0
Where I Was From,3.86,eng,240,2842,292,2000,3,0,0
Slouching Towards Bethlehem,4.21,eng,238,26934,1825,1990,4,0,0
Democracy,3.81,en-US,234,2070,169,1990,2,0,0
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,4.5,eng,1122,1564,108,2000,4,1,0
Play It As It Lays,3.87,eng,231,23656,1706,2000,4,1,0
The New York Trilogy,3.89,eng,308,43200,1873,2000,1,1,0
City of Glass (The New York Trilogy  #1),3.79,eng,203,12410,734,1980,2,0,1
Ghosts (The New York Trilogy  #2),3.64,eng,96,3672,195,1980,3,0,1
The Locked Room (The New York Trilogy  #3),3.89,eng,179,2998,164,1980,4,0,1
Pyramids of Montauk: Explorations in Consciousness,3.89,eng,256,74,2,1990,1,1,0
The Brooklyn Follies,3.84,eng,306,17977,1157,2000,4,0,0
Moon Palace,3.94,eng,320,16099,503,1990,2,0,0
The Music of Chance,3.9,en-US,217,361,36,1990,4,0,0
Travels in the Scriptorium,3.23,eng,145,6688,562,2000,1,0,0
Leviathan,3.96,eng,275,11744,443,1990,3,0,0
The Red Notebook: True Stories,3.77,eng,104,2390,120,2000,2,0,0
Timbuktu / Leviathan / Moon Palace,4.38,fre,1075,21,1,2000,4,0,0
Collapse: How Societies Choose to Fail or Succeed,3.93,eng,608,52522,2780,2000,4,0,0
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.4,en-US,211,213,26,2000,1,1,0
Collapse of Complex Societies,4.15,eng,262,719,86,1990,1,0,0
Bowling Alone: The Collapse and Revival of American Community,3.8,eng,544,4762,512,2000,3,0,0
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,3.91,eng,272,62,4,2000,1,0,0
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,4.39,eng,576,278,20,1990,3,1,0
My Inventions,4.01,eng,88,2862,262,2000,2,0,0
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,eng,542,2829,334,2000,1,1,0
Nikola Tesla: A Spark of Genius,3.93,eng,144,105,5,1990,4,0,0
Tesla Papers,4.13,eng,100,102,2,2000,4,1,0
Boys of Summer,3.77,eng,249,478,12,2000,2,1,0
Programming Ruby: The Pragmatic Programmers' Guide,4.03,en-US,828,1577,49,2000,4,1,0
Golding's Lord of the Flies (Cliffs Notes),3.95,eng,112,73,8,2000,2,1,0
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,4.11,eng,397,1693,100,2000,3,0,0
We Were Not Like Other People,4.14,eng,216,1,0,1980,1,1,0
The Lovely Bones,3.81,en-GB,328,6485,966,2000,2,0,0
The Lovely Bones,3.81,en-US,532,367,73,2000,2,0,0
Lovely in Her Bones (Elizabeth MacPherson  #2),3.8,eng,224,1371,43,1990,2,0,1
The Zen of CSS Design: Visual Enlightenment for the Web,3.98,en-US,296,793,28,2000,1,1,0
HTML  XHTML  and CSS (Visual Quickstart Guide),3.8,en-US,456,549,42,2000,3,0,0
1000 Record Covers,3.85,mul,575,288,31,2000,2,1,0
Killing Yourself to Live: 85% of a True Story,3.81,eng,245,26381,1109,2000,2,0,0
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,3.73,eng,272,62089,3324,2000,3,0,0
Vice (V  #8),3.51,eng,419,474,19,1990,2,0,1
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),3.77,eng,540,166046,6446,2000,2,0,1
Once Upon a Cool Motorcycle Dude,4.08,eng,32,1773,274,2000,2,1,0
Guidebook to Zen and the Art of Motorcycle Maintenance,3.72,en-GB,408,286,10,1990,4,1,0
Motorcycle Basics Techbook,3.85,eng,222,40,2,2000,3,0,0
LOGO Lounge: 2 000 International Identities by Leading Designers,3.93,eng,191,27,0,2000,3,1,0
The Death of Ivan Ilych And Other Stories,4.11,eng,304,7300,266,2000,2,1,0
War and Peace,4.11,eng,1392,211671,6245,1990,2,1,0
The Kingdom of God Is Within You,4.13,eng,352,2403,210,2000,3,1,0
Atlas Shrugged,3.69,eng,1168,322483,14702,1990,3,1,0
For the New Intellectual: The Philosophy of Ayn Rand,3.68,eng,224,2750,108,1960,4,0,0
The Fountainhead,3.87,en-US,752,1886,229,2000,2,0,0
The Virtue of Selfishness: A New Concept of Egoism,3.51,eng,176,11462,467,1960,4,1,0
Anthem,3.63,eng,105,110952,7277,1990,4,0,0
We the Living,3.91,eng,464,23199,1086,1990,1,1,0
Capitalism: The Unknown Ideal,3.88,eng,340,3501,153,1980,3,1,0
Letters of Ayn Rand,3.96,eng,681,18,2,1990,1,1,0
Sailing for Dummies,3.95,eng,416,150,7,2000,2,1,0
Sailing from Byzantium: How a Lost Empire Shaped the World,3.88,eng,368,646,83,2000,3,0,0
Sailing Alone Around the Room: New and Selected Poems,4.23,eng,192,12180,630,2000,3,0,0
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,3.62,eng,286,51,5,2000,2,0,0
"Natural Cures ""They"" Don't Want You to Know about",3.09,en-US,571,1601,284,2000,1,0,0
The Natural,3.63,eng,231,8854,672,2000,3,1,0
Digging to America,3.55,eng,277,17155,1841,2000,2,0,0
Rereading America: Cultural Contexts for Critical Thinking and Writing,3.77,eng,826,44,3,2000,1,1,0
Modern Latin America,3.59,en-US,528,234,11,2000,4,1,0
The Plot Against America,3.77,eng,391,33321,2925,2000,3,0,0
Naked Pictures of Famous People,3.59,en-GB,164,8703,417,1990,3,0,0
Collected Stories,4.19,eng,352,6375,179,2000,2,1,0
Crónica de una muerte anunciada,3.97,spa,118,7888,411,2000,4,0,0
Cien años de soledad,4.07,spa,496,130,5,2000,1,0,0
Del amor y otros demonios,3.98,spa,176,4508,278,2000,1,0,0
Living to Tell the Tale,3.99,eng,533,397,47,2000,4,1,0
Memoria de mis putas tristes,3.6,spa,112,5856,377,2000,4,0,0
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,4.07,eng,425,32569,1058,2000,3,0,0
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,4.29,eng,288,37,6,2000,2,1,0
The Mini Rough Guide to London,3.75,eng,363,1,0,2000,2,1,0
Best of London (Lonely Planet Best Of),3.83,eng,128,11,0,2000,3,1,0
Lonely Planet Londres,4.03,spa,480,0,0,2000,2,1,0
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,3.88,eng,287,6870,237,2000,2,0,0
Cryptonomicon,4.25,eng,1139,83184,4249,2000,4,0,0
Le Réseau Kinakuta (Cryptonomicon  #2),4.1,fre,418,5,0,2000,1,0,1
The Confusion (The Baroque Cycle  #2),4.26,en-US,815,19320,565,2000,2,0,1
Quicksilver (The Baroque Cycle  #1),3.93,eng,927,30872,1735,2000,3,0,1
The Cobweb,3.61,eng,448,2465,137,2000,2,1,0
The Big U,3.25,en-US,308,4657,223,2000,1,0,0
The Diamond Age: Or  A Young Lady's Illustrated Primer,4.19,eng,499,71042,2767,2000,2,1,0
Interface,3.68,eng,640,4731,270,2000,2,1,0
Odalisque (The Baroque Cycle  Vol. 1  Book 3),4.2,en-US,464,1567,65,2000,1,0,1
Snow Crash,4.03,eng,438,188100,6612,2000,3,1,0
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,4.16,eng,450,1474,30,2000,2,1,1
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,4.24,eng,381,1929,72,2000,4,1,1
The Design of Everyday Things,4.17,eng,240,18602,1379,2000,3,0,0
Emotional Design: Why We Love (or Hate) Everyday Things,3.95,eng,272,3702,149,2000,2,0,0
The Psychology of Everyday Things,4.17,eng,257,265,31,1980,2,0,0
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,4.27,en-GB,259,51,7,2000,2,1,0
The Alchemist,3.86,eng,192,920,76,2000,2,1,0
The Alchemist,3.86,eng,197,1631221,55843,1990,2,1,0
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),4.57,eng,192,9013,153,2000,3,1,1
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),4.56,eng,192,16666,299,2000,3,1,1
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),4.57,eng,192,11451,161,2000,3,1,1
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),4.5,eng,192,111091,1427,2000,2,1,1
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),4.55,eng,200,10752,294,2000,4,1,1
The Illustrated Alchemist: A Fable about Following Your Dream,3.86,en-US,198,251,32,1990,4,1,0
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),4.52,eng,192,14923,419,2000,3,1,1
Pompeii,3.82,eng,274,26922,1726,2000,4,0,0
The Last Days of Pompeii,3.6,eng,360,1156,68,2000,4,1,0
Of Mice and Men,3.87,eng,103,1755253,25554,2000,1,0,0
The Game: Penetrating the Secret Society of Pickup Artists,3.74,en-US,464,20529,1592,2000,3,0,0
The Westing Game,4.02,eng,182,142121,8782,2000,2,0,0
The Egypt Game,3.83,eng,215,30231,1130,2000,3,0,0
Memoirs of a Geisha,4.11,eng,503,280309,3703,2000,4,0,0
Memoirs of a Geisha,4.11,eng,434,1301083,19296,2000,4,0,0
Memoirs of a Geisha,4.11,en-US,497,2122,256,2000,4,0,0
Memoirs of a Geisha: A Portrait of the Film,4.08,eng,144,145,8,2000,4,1,0
Memoirs of a Geisha,4.11,eng,497,4189,462,1990,2,0,0
Geisha of Gion,3.93,eng,334,1556,158,2000,2,1,0
Love As A Foreign Language #5,3.44,eng,58,9,2,2000,1,1,1
Jungle Love,3.41,eng,95,59,7,2000,3,1,0
Angels & Demons (Robert Langdon  #1),3.89,eng,736,2418736,21303,2000,2,0,1
Ángeles y demonios (Robert Langdon  #1),3.89,spa,508,196,20,2000,4,0,1
Angeles & Demonios,3.89,spa,18,65,7,2000,4,1,0
The Da Vinci Code (Robert Langdon  #2),3.84,eng,489,1679706,35877,2000,1,0,1
The Da Vinci Code,3.84,eng,467,1120,105,2000,1,0,0
Da Vinci Code (Robert Langdon  #2),3.84,fre,744,377,16,2000,2,1,1
Deception Point,3.71,eng,736,4919,410,2000,2,0,0
Deception Point,3.71,eng,585,3353,183,2000,2,0,0
Deception Point,3.71,eng,448,61,4,2000,3,0,0
A Killing Rain (Louis Kincaid  #6),4.04,eng,383,456,41,2000,1,0,1
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,4.03,eng,258,61760,2600,1990,4,1,0
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,4.18,eng,320,88897,2334,2000,3,0,0
Think and Grow Rich,4.18,eng,368,48,9,2000,3,0,0
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),3.58,eng,256,173,14,2000,2,0,1
Read My Lips: Sexual Subversion and the End of Gender,3.95,en-US,288,253,17,2000,2,0,0
Trump: The Art of the Deal,3.66,en-US,384,12748,948,2000,4,1,0
The Richest Man in Babylon,4.26,eng,194,76451,3400,2000,1,0,0
Shibumi,4.21,eng,480,9498,637,2000,2,1,0
1776,4.07,eng,386,166916,6243,2000,3,0,0
1776,4.22,eng,192,1299,30,1970,4,1,0
The Crescent Obscured: The United States and the Muslim World  1776-1815,3.62,eng,284,31,5,2000,3,0,0
The Good Earth (House of Earth  #1),3.98,eng,418,200744,7656,2000,1,0,1
Fast Food Nation: The Dark Side of the All-American Meal,3.74,eng,399,190039,4922,2000,3,0,0
Fast Food Nation: What The All-American Meal is Doing to the World,3.74,eng,384,811,77,2000,2,0,0
Snow Flower and the Secret Fan,4.07,eng,269,297533,14935,2000,1,0,0
The Broker,3.78,eng,422,72361,2334,2000,3,0,0
The Power Broker: Robert Moses and the Fall of New York,4.51,eng,1344,11208,1237,1970,3,0,0
The Power Broker: A Novel (Christian Gillette  #3),3.75,eng,320,28,1,2000,3,0,1
Body For Life: 12 Weeks to Mental and Physical Strength,3.74,en-US,201,3877,275,1990,2,1,0
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,3.65,en-US,288,401,63,2000,2,1,0
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,3.95,eng,405,814,51,2000,4,0,0
The Warren Buffett Way,4.13,en-US,245,228,16,2000,4,1,0
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,4.07,eng,432,39,1,2000,2,1,0
Monkey Business: True Story of the Scopes Trial,3.15,eng,368,26,8,2000,2,1,0
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),3.99,en-US,68,11178,623,1990,1,1,1
Monkey Business,3.67,eng,392,3379,67,2000,3,0,0
Liar's Poker,4.15,eng,256,22843,936,1990,4,0,0
Liar's Poker: A Harry Garnish Mystery,3.31,eng,214,13,1,1990,2,0,0
