title,average_rating,language_code,num_pages,ratings_count,text_reviews_count,decade,quarter,tra_co,multivolume,len_title,polarity,subjectivity
the war,3.85,eng,192,963,65,1990,3,1,0,7,0.0,0.0
the ravishing lol stein,3.66,en-US,181,2057,128,1980,1,1,0,26,0.8,0.7
love letters,3.68,eng,178,203,8,1990,3,1,0,12,0.5,0.6
kahlil gibran his life world,4.21,eng,464,35,2,1990,2,1,0,33,0.0,0.0
the beloved reflections path heart,4.19,eng,102,328,16,1990,1,1,0,49,0.7,1.0
jesus son man,3.98,eng,216,1308,82,1990,1,1,0,20,0.0,0.0
the broken wings,3.92,eng,132,6432,517,2000,1,1,0,16,-0.4,0.4
sand foam,4.08,eng,100,3015,217,2010,2,1,0,13,0.0,0.0
treasure island,3.83,eng,311,318753,6734,2000,3,0,0,15,0.0,0.0
treasure island,3.83,en-US,213,420,42,2000,4,1,0,15,0.0,0.0
treasure island,3.83,eng,245,5967,276,2000,2,0,0,15,0.0,0.0
treasure island,3.83,eng,64,104,14,2000,3,1,0,15,0.0,0.0
treasure island,3.83,en-US,272,56,4,2000,3,1,0,15,0.0,0.0
treasure island,4.05,eng,232,91,16,2000,1,1,0,16,0.0,0.0
100 years lynchings,4.61,eng,270,88,4,1990,4,0,0,22,0.0,0.0
cien años soledad,4.07,spa,448,63,7,1990,1,0,0,20,0.0,0.0
on beyond zebra,4.04,eng,64,2815,164,1950,3,0,0,16,0.0,0.0
the wedding clause,3.6,eng,256,95,13,2000,2,0,0,18,0.0,0.0
the zebra wall,3.44,eng,147,217,24,2000,1,0,0,14,0.0,0.0
el perfume historia un asesino,4.02,spa,239,4136,255,2000,2,0,0,34,0.0,0.0
the door into summer,4.01,eng,304,17232,649,1990,2,0,0,20,0.0,0.0
stranger strange land,3.92,eng,528,251872,6241,1990,4,0,0,26,-0.05,0.15
to sail beyond sunset,3.87,en-US,434,10293,193,1980,2,0,0,25,0.0,0.0
job a comedy justice,3.78,en-US,439,15970,438,1980,4,0,0,24,0.0,0.0
time stars,3.97,eng,256,6898,200,2000,3,0,1,19,0.0,0.0
the long dark tea time soul,4.06,en-US,307,67803,1401,1990,1,0,1,35,-0.1,0.4
the salmon doubt,3.93,eng,298,22091,746,2000,2,0,1,20,0.0,0.0
wish you were here the official biography douglas adams,4.14,eng,368,2623,49,2000,4,0,0,59,0.0,0.0
douglas adams starship titanic,3.6,eng,256,885,84,1990,4,0,0,32,0.0,0.0
salmon doubt hitchhiking galaxy one last time,3.93,eng,336,5,0,2000,3,1,0,53,0.0,0.06666666666666667
the phantom tollbooth a children play two acts,4.13,eng,72,100,13,2010,1,1,0,52,0.0,0.0
on bullshit,3.57,eng,67,9358,995,2000,1,0,0,11,0.0,0.0
another bullshit night suck city,3.78,eng,347,9318,907,2000,3,0,0,35,0.0,0.0
lincoln gettysburg the words that remade america,4.14,en-US,317,120,15,1990,2,0,0,52,0.0,0.0
the gettysburg address,4.53,eng,32,5239,76,1990,1,1,0,22,0.0,0.0
underworld,3.92,eng,827,1505,175,1990,3,0,0,10,0.0,0.0
libra,3.99,eng,480,11857,564,1990,2,0,0,5,0.0,0.0
americana,3.43,eng,377,393,55,1980,3,0,0,9,0.0,0.0
running dog,3.43,eng,256,1356,72,1980,3,0,0,11,0.0,0.0
cosmopolis,3.22,eng,224,460,41,2000,2,0,0,10,0.0,0.0
great jones street,3.48,eng,272,2492,145,1990,1,0,0,18,0.8,0.75
the names,3.64,eng,339,3100,212,1980,3,0,0,9,0.0,0.0
against day,4.13,eng,1085,5296,587,2000,4,0,0,15,0.0,0.0
v,3.96,eng,547,1415,177,2000,3,0,0,2,0.0,0.0
the crying lot 49,3.69,eng,152,2161,230,1990,2,0,0,20,-0.2,0.6
gravity rainbow,4.01,eng,784,762,213,2000,1,0,0,17,0.0,0.0
mason dixon,4.07,eng,773,8086,602,2000,1,1,0,13,0.0,0.0
vineland,3.69,en-US,385,702,69,1990,3,0,0,8,0.0,0.0
gravity rainbow,4.01,eng,776,29764,2164,2000,4,0,0,17,0.0,0.0
slow learner early stories,3.5,eng,193,334,34,1980,2,0,0,27,-0.10000000000000002,0.35
been down so long it looks like up to me,3.8,eng,352,2473,220,1990,3,1,0,40,-0.1027777777777778,0.34444444444444444
the year magical thinking,3.89,en-US,227,2656,336,2000,4,0,0,28,0.5,1.0
the white album,4.17,eng,222,11889,738,1990,4,0,0,15,0.0,0.0
a book common prayer,3.8,eng,272,2962,255,1990,2,0,0,23,-0.3,0.5
where i was from,3.86,eng,240,2842,292,2000,3,0,0,16,0.0,0.0
slouching towards bethlehem,4.21,eng,238,26934,1825,1990,4,0,0,27,0.0,0.0
democracy,3.81,en-US,234,2070,169,1990,2,0,0,9,0.0,0.0
we tell ourselves stories order live collected nonfiction,4.5,eng,1122,1564,108,2000,4,1,0,64,0.13636363636363635,0.5
play it as it lays,3.87,eng,231,23656,1706,2000,4,1,0,18,0.0,0.0
the new york trilogy,3.89,eng,308,43200,1873,2000,1,1,0,20,0.13636363636363635,0.45454545454545453
city glass,3.79,eng,203,12410,734,1980,2,0,1,14,0.0,0.0
ghosts,3.64,eng,96,3672,195,1980,3,0,1,7,0.0,0.0
the locked room,3.89,eng,179,2998,164,1980,4,0,1,16,0.0,0.0
pyramids montauk explorations consciousness,3.89,eng,256,74,2,1990,1,1,0,50,0.0,0.0
the brooklyn follies,3.84,eng,306,17977,1157,2000,4,0,0,20,0.0,0.0
moon palace,3.94,eng,320,16099,503,1990,2,0,0,11,0.0,0.0
the music chance,3.9,en-US,217,361,36,1990,4,0,0,19,0.0,0.0
travels scriptorium,3.23,eng,145,6688,562,2000,1,0,0,26,0.0,0.0
leviathan,3.96,eng,275,11744,443,1990,3,0,0,9,0.0,0.0
the red notebook true stories,3.77,eng,104,2390,120,2000,2,0,0,30,0.175,0.325
timbuktu leviathan moon palace,4.38,fre,1075,21,1,2000,4,0,0,34,0.0,0.0
collapse how societies choose fail succeed,3.93,eng,608,52522,2780,2000,4,0,0,49,-0.5,0.29999999999999993
the coming economic collapse how you can thrive when oil costs 200 barrel,3.4,en-US,211,213,26,2000,1,1,0,77,0.2,0.2
collapse complex societies,4.15,eng,262,719,86,1990,1,0,0,29,-0.3,0.4
bowling alone the collapse revival american community,3.8,eng,544,4762,512,2000,3,0,0,61,0.0,0.0
the collapse common good how america lawsuit culture undermines our freedom,3.91,eng,272,62,4,2000,1,0,0,85,0.19999999999999998,0.55
reinventing enemy language contemporary native women writings north america,4.39,eng,576,278,20,1990,3,1,0,87,0.16666666666666666,0.16666666666666666
my inventions,4.01,eng,88,2862,262,2000,2,0,0,13,0.0,0.0
wizard the life times nikola tesla biography genius,3.78,eng,542,2829,334,2000,1,1,0,65,0.0,0.0
nikola tesla a spark genius,3.93,eng,144,105,5,1990,4,0,0,31,0.0,0.0
tesla papers,4.13,eng,100,102,2,2000,4,1,0,12,0.0,0.0
boys summer,3.77,eng,249,478,12,2000,2,1,0,14,0.0,0.0
programming ruby the pragmatic programmers guide,4.03,en-US,828,1577,49,2000,4,1,0,50,0.0,0.0
golding lord flies,3.95,eng,112,73,8,2000,2,1,0,28,0.0,0.0
a war like no other how athenians spartans fought peloponnesian war,4.11,eng,397,1693,100,2000,3,0,0,78,0.0625,0.375
we were not like other people,4.14,eng,216,1,0,1980,1,1,0,29,-0.125,0.375
the lovely bones,3.81,en-GB,328,6485,966,2000,2,0,0,16,0.5,0.75
the lovely bones,3.81,en-US,532,367,73,2000,2,0,0,16,0.5,0.75
lovely her bones,3.8,eng,224,1371,43,1990,2,0,1,20,0.5,0.75
the zen css design visual enlightenment web,3.98,en-US,296,793,28,2000,1,1,0,55,0.0,0.0
html xhtml css,3.8,en-US,456,549,42,2000,3,0,0,21,0.0,0.0
1000 record covers,3.85,mul,575,288,31,2000,2,1,0,18,0.0,0.0
killing yourself live 85 true story,3.81,eng,245,26381,1109,2000,2,0,0,45,0.24318181818181817,0.575
sex drugs cocoa puffs a low culture manifesto,3.73,eng,272,62089,3324,2000,3,0,0,52,0.0,0.3
vice,3.51,eng,419,474,19,1990,2,0,1,5,0.0,0.0
zen art motorcycle maintenance an inquiry into values,3.77,eng,540,166046,6446,2000,2,0,1,66,0.0,0.0
once upon cool motorcycle dude,4.08,eng,32,1773,274,2000,2,1,0,32,0.35,0.65
guidebook zen art motorcycle maintenance,3.72,en-GB,408,286,10,1990,4,1,0,54,0.0,0.0
motorcycle basics techbook,3.85,eng,222,40,2,2000,3,0,0,26,0.0,0.0
logo lounge 000 international identities leading designers,3.93,eng,191,27,0,2000,3,1,0,64,0.0,0.0
the death ivan ilych and other stories,4.11,eng,304,7300,266,2000,2,1,0,41,-0.125,0.375
war peace,4.11,eng,1392,211671,6245,1990,2,1,0,13,0.0,0.0
the kingdom god is within you,4.13,eng,352,2403,210,2000,3,1,0,32,0.0,0.0
atlas shrugged,3.69,eng,1168,322483,14702,1990,3,1,0,14,0.0,0.0
for new intellectual the philosophy ayn rand,3.68,eng,224,2750,108,1960,4,0,0,52,0.21818181818181817,0.42727272727272725
the fountainhead,3.87,en-US,752,1886,229,2000,2,0,0,16,0.0,0.0
the virtue selfishness a new concept egoism,3.51,eng,176,11462,467,1960,4,1,0,50,0.13636363636363635,0.45454545454545453
anthem,3.63,eng,105,110952,7277,1990,4,0,0,6,0.0,0.0
we living,3.91,eng,464,23199,1086,1990,1,1,0,13,0.0,0.0
capitalism the unknown ideal,3.88,eng,340,3501,153,1980,3,1,0,29,0.4,0.8
letters ayn rand,3.96,eng,681,18,2,1990,1,1,0,19,0.0,0.0
sailing dummies,3.95,eng,416,150,7,2000,2,1,0,19,0.0,0.0
sailing byzantium how lost empire shaped world,3.88,eng,368,646,83,2000,3,0,0,58,0.0,0.0
sailing alone around room new selected poems,4.23,eng,192,12180,630,2000,3,0,0,53,0.13636363636363635,0.45454545454545453
the greatest sailing stories ever told twenty seven unforgettable stories,3.62,eng,286,51,5,2000,2,0,0,74,0.9,1.0
natural cures they don want you know,3.09,en-US,571,1601,284,2000,1,0,0,49,0.1,0.4
the natural,3.63,eng,231,8854,672,2000,3,1,0,11,0.1,0.4
digging america,3.55,eng,277,17155,1841,2000,2,0,0,18,0.0,0.0
rereading america cultural contexts critical thinking writing,3.77,eng,826,44,3,2000,1,1,0,70,0.05,0.45
modern latin america,3.59,en-US,528,234,11,2000,4,1,0,20,0.2,0.3
the plot against america,3.77,eng,391,33321,2925,2000,3,0,0,24,0.0,0.0
naked pictures famous people,3.59,en-GB,164,8703,417,1990,3,0,0,31,0.25,0.7
collected stories,4.19,eng,352,6375,179,2000,2,1,0,17,0.0,0.0
crónica una muerte anunciada,3.97,spa,118,7888,411,2000,4,0,0,31,0.0,0.0
cien años soledad,4.07,spa,496,130,5,2000,1,0,0,20,0.0,0.0
del amor otros demonios,3.98,spa,176,4508,278,2000,1,0,0,25,0.0,0.0
living tell tale,3.99,eng,533,397,47,2000,4,1,0,23,0.0,0.0
memoria mis putas tristes,3.6,spa,112,5856,377,2000,4,0,0,28,0.0,0.0
the elegant universe superstrings hidden dimensions quest ultimate theory,4.07,eng,425,32569,1058,2000,3,0,0,92,0.11111111111111112,0.7777777777777777
pure simple the extraordinary teachings thai buddhist laywoman,4.29,eng,288,37,6,2000,2,1,0,72,0.18253968253968253,0.6190476190476191
the mini rough guide london,3.75,eng,363,1,0,2000,2,1,0,30,-0.1,0.4
best london,3.83,eng,128,11,0,2000,3,1,0,15,1.0,0.3
lonely planet londres,4.03,spa,480,0,0,2000,2,1,0,21,-0.09999999999999998,0.7
three nights august strategy heartbreak joy inside mind manager,3.88,eng,287,6870,237,2000,2,0,0,82,0.8,0.2
cryptonomicon,4.25,eng,1139,83184,4249,2000,4,0,0,13,0.0,0.0
le réseau kinakuta,4.1,fre,418,5,0,2000,1,0,1,19,0.0,0.0
the confusion,4.26,en-US,815,19320,565,2000,2,0,1,14,0.0,0.0
quicksilver,3.93,eng,927,30872,1735,2000,3,0,1,12,0.0,0.0
the cobweb,3.61,eng,448,2465,137,2000,2,1,0,10,0.0,0.0
the big u,3.25,en-US,308,4657,223,2000,1,0,0,9,0.0,0.1
the diamond age or a young lady illustrated primer,4.19,eng,499,71042,2767,2000,2,1,0,54,0.1,0.4
interface,3.68,eng,640,4731,270,2000,2,1,0,9,0.0,0.0
odalisque,4.2,en-US,464,1567,65,2000,1,0,1,10,0.0,0.0
snow crash,4.03,eng,438,188100,6612,2000,3,1,0,10,0.0,0.0
harrington hold em expert strategy no limit tournaments volume ii the endgame,4.16,eng,450,1474,30,2000,2,1,1,88,0.0,0.0
harrington hold em expert strategy no limit tournaments volume i strategic play,4.24,eng,381,1929,72,2000,4,1,1,90,0.0,0.0
the design everyday things,4.17,eng,240,18602,1379,2000,3,0,0,29,-0.2,0.6
emotional design why we love everyday things,3.95,eng,272,3702,149,2000,2,0,0,46,0.09999999999999999,0.6166666666666667
the psychology everyday things,4.17,eng,257,265,31,1980,2,0,0,33,-0.2,0.6
no price too high a pentecostal preacher becomes catholic the inspirational story alex jones told diane hanson,4.27,en-GB,259,51,7,2000,2,1,0,122,0.22,0.5466666666666666
the alchemist,3.86,eng,192,920,76,2000,2,1,0,13,0.0,0.0
the alchemist,3.86,eng,197,1631221,55843,1990,2,1,0,13,0.0,0.0
fullmetal alchemist vol 9,4.57,eng,192,9013,153,2000,3,1,1,28,0.0,0.0
fullmetal alchemist vol 3,4.56,eng,192,16666,299,2000,3,1,1,28,0.0,0.0
fullmetal alchemist vol 8,4.57,eng,192,11451,161,2000,3,1,1,28,0.0,0.0
fullmetal alchemist vol,4.5,eng,192,111091,1427,2000,2,1,1,28,0.0,0.0
fullmetal alchemist vol 4,4.55,eng,200,10752,294,2000,4,1,1,28,0.0,0.0
the illustrated alchemist a fable following your dream,3.86,en-US,198,251,32,1990,4,1,0,61,0.0,0.1
fullmetal alchemist vol,4.52,eng,192,14923,419,2000,3,1,1,28,0.0,0.0
pompeii,3.82,eng,274,26922,1726,2000,4,0,0,7,0.0,0.0
the last days pompeii,3.6,eng,360,1156,68,2000,4,1,0,24,0.0,0.06666666666666667
of mice men,3.87,eng,103,1755253,25554,2000,1,0,0,15,0.0,0.0
the game penetrating secret society pickup artists,3.74,en-US,464,20529,1592,2000,3,0,0,58,-0.4,0.55
the westing game,4.02,eng,182,142121,8782,2000,2,0,0,16,-0.4,0.4
the egypt game,3.83,eng,215,30231,1130,2000,3,0,0,14,-0.4,0.4
memoirs geisha,4.11,eng,503,280309,3703,2000,4,0,0,19,0.0,0.0
memoirs geisha,4.11,eng,434,1301083,19296,2000,4,0,0,19,0.0,0.0
memoirs geisha,4.11,en-US,497,2122,256,2000,4,0,0,19,0.0,0.0
memoirs geisha a portrait film,4.08,eng,144,145,8,2000,4,1,0,43,0.0,0.0
memoirs geisha,4.11,eng,497,4189,462,1990,2,0,0,19,0.0,0.0
geisha gion,3.93,eng,334,1556,158,2000,2,1,0,14,0.0,0.0
love as a foreign language 5,3.44,eng,58,9,2,2000,1,1,1,29,0.1875,0.3625
jungle love,3.41,eng,95,59,7,2000,3,1,0,11,0.5,0.6
angels demons,3.89,eng,736,2418736,21303,2000,2,0,1,16,0.0,0.0
ángeles demonios,3.89,spa,508,196,20,2000,4,0,1,19,0.0,0.0
angeles demonios,3.89,spa,18,65,7,2000,4,1,0,18,0.0,0.0
the da vinci code,3.84,eng,489,1679706,35877,2000,1,0,1,18,0.0,0.0
the da vinci code,3.84,eng,467,1120,105,2000,1,0,0,17,0.0,0.0
da vinci code,3.84,fre,744,377,16,2000,2,1,1,14,0.0,0.0
deception point,3.71,eng,736,4919,410,2000,2,0,0,15,0.0,0.0
deception point,3.71,eng,585,3353,183,2000,2,0,0,15,0.0,0.0
deception point,3.71,eng,448,61,4,2000,3,0,0,15,0.0,0.0
a killing rain,4.04,eng,383,456,41,2000,1,0,1,15,0.0,0.0
the millionaire next door the surprising secrets america wealthy,4.03,eng,258,61760,2600,1990,4,1,0,70,0.39999999999999997,0.5
think grow rich the landmark bestseller now revised updated 21st century,4.18,eng,320,88897,2334,2000,3,0,0,89,0.1875,0.375
think grow rich,4.18,eng,368,48,9,2000,3,0,0,19,0.375,0.75
